"","V1","V2"
"1","FN1","LOC112268430"
"2","RPPH1","PARP2"
"3","PARP2","RPPH1"
"4","MMRN1","NFIA"
"5","MMRN1","HMBOX1"
"6","FTH1","BEST1"
"7","HSPG2","LDLRAD2"
"8","EEF1A1","RPL15"
"9","EEF1A1","RPL26"
"10","VIM","VIM.AS1"
"11","MMP1","WTAPP1"
"12","BEST1","FTH1"
"13","SPARC","CLMAT3"
"14","COX2","CYTB"
"15","COX2","ATP6"
"16","MALAT1","TALAM1"
"17","TALAM1","MALAT1"
"18","VIM.AS1","VIM"
"19","ND4","ND5"
"20","ND4","ATP6"
"21","ND4","ND6"
"22","ND4","ND2"
"23","COL4A2","COL4A1"
"24","COL4A1","COL4A2"
"25","ND5","ND4"
"26","ND5","ATP6"
"27","ND5","ND6"
"28","ND5","ND2"
"29","TFPI","NFIA"
"30","APLN","MCAM"
"31","MCAM","APLN"
"32","CYTB","COX2"
"33","CYTB","ATP6"
"34","CYTB","ND6"
"35","WTAPP1","MMP1"
"36","PLSCR4","CEACAM1"
"37","COL18A1","SLC19A1"
"38","RPL13A","RPL15"
"39","RPL13A","RPL5"
"40","RPL13A","RPL7"
"41","RPL13A","RPL26"
"42","ENG","LOC102723566"
"43","IGFBP7","IGFBP7.AS1"
"44","RPLP0","RPSA"
"45","TUBA1B","TUBB4B"
"46","RPS3","RPS16"
"47","RPS3","RPS21"
"48","RPL15","EEF1A1"
"49","RPL15","RPL13A"
"50","RPL15","RPS6"
"51","RPL15","RPS3A"
"52","RPL15","RPS8"
"53","RPL15","RPL5"
"54","RPL15","RPS15A"
"55","RPL15","RPL26"
"56","RPL15","EIF3L"
"57","TAGLN","PCSK7"
"58","ND1","ND2"
"59","ATP6","COX2"
"60","ATP6","ND4"
"61","ATP6","ND5"
"62","ATP6","CYTB"
"63","ATP6","ND6"
"64","ATP6","ND2"
"65","PPFIBP1","AFAP1L1"
"66","PROX1","PIEZO2"
"67","RPS6","RPL15"
"68","RPS6","RPS3A"
"69","RPS6","RPS8"
"70","RPS6","RPL32"
"71","RPS6","RPL19"
"72","RPS6","RPS7"
"73","RPS6","RPS20"
"74","RPS6","RPL26"
"75","RPS6","RPL30"
"76","CLEC14A","ESAM"
"77","RPL4","RPL6"
"78","RPS3A","RPL15"
"79","RPS3A","RPS6"
"80","RPS3A","RPS8"
"81","RPS3A","RPL32"
"82","RPS3A","RPS7"
"83","RPS3A","RPS20"
"84","RPS3A","RPS15A"
"85","RPS3A","RPS13"
"86","RPS3A","RPS27A"
"87","RPS3A","RPL26"
"88","RPS3A","RPL34"
"89","ND6","ND4"
"90","ND6","ND5"
"91","ND6","CYTB"
"92","ND6","ATP6"
"93","RACK1","RPL18A"
"94","RACK1","RPL18"
"95","ND2","ND4"
"96","ND2","ND5"
"97","ND2","ND1"
"98","ND2","ATP6"
"99","RTN4","EML6"
"100","PIEZO2","PROX1"
"101","RPSA","RPLP0"
"102","CXCL8","CXCL1"
"103","MMRN2","ESAM"
"104","LDLRAD2","HSPG2"
"105","RPS8","RPL15"
"106","RPS8","RPS6"
"107","RPS8","RPS3A"
"108","RPS8","RPS7"
"109","RPS8","RPS15A"
"110","RPS8","RPL26"
"111","RPS8","RPL34"
"112","CFL1","SNX32"
"113","RPL23","RPL5"
"114","RPL5","RPL13A"
"115","RPL5","RPL15"
"116","RPL5","RPL23"
"117","RPL5","RPL7"
"118","RPL5","NACA"
"119","PCSK7","TAGLN"
"120","RPL32","RPS6"
"121","RPL32","RPS3A"
"122","RPL32","RPL10A"
"123","RPL32","RPL18A"
"124","RPL32","RPS13"
"125","RPL32","RPL35A"
"126","RPL32","RPL30"
"127","NIBAN2","SLC20A1"
"128","RPL10A","RPL32"
"129","RPL10A","RPL28"
"130","RPL10A","RPL18A"
"131","RPL10A","RPL18"
"132","RPL28","RPL10A"
"133","RPS16","RPS3"
"134","RPS16","RPLP1"
"135","RPS23","RPL26"
"136","SNHG29","LRRC75A"
"137","RHOC","MOV10"
"138","RPL18A","RACK1"
"139","RPL18A","RPL32"
"140","RPL18A","RPL10A"
"141","RPL18A","RPL18"
"142","RPLP1","RPS16"
"143","RPLP1","RPS5"
"144","H1.5","H3C2"
"145","H1.5","H2BC12"
"146","H1.5","H2BC4"
"147","H1.5","H2AC11"
"148","H1.5","H3C3"
"149","H1.5","H2AZ1"
"150","H1.5","H3C4"
"151","RPL7","RPL13A"
"152","RPL7","RPL5"
"153","RPL7","RPS7"
"154","RPL7","RPL26"
"155","RPL7","RPS24"
"156","ICAM2","PRR29"
"157","PRKAR1A","FAM20A"
"158","IGFBP7.AS1","IGFBP7"
"159","RPL19","RPS6"
"160","RPL19","RPL37"
"161","RPS7","RPS6"
"162","RPS7","RPS3A"
"163","RPS7","RPS8"
"164","RPS7","RPL7"
"165","RPS7","RPS20"
"166","RPS7","RPL26"
"167","H1.2","H2BC4"
"168","SELENOP","CCDC152"
"169","RPS20","RPS6"
"170","RPS20","RPS3A"
"171","RPS20","RPS7"
"172","RPS20","RPL30"
"173","CXCL1","CXCL8"
"174","RPS15A","RPL15"
"175","RPS15A","RPS3A"
"176","RPS15A","RPS8"
"177","RPS13","RPS3A"
"178","RPS13","RPL32"
"179","RPS13","RPS27A"
"180","ESAM","CLEC14A"
"181","ESAM","MMRN2"
"182","RPL18","RACK1"
"183","RPL18","RPL10A"
"184","RPL18","RPL18A"
"185","RPS27A","RPS3A"
"186","RPS27A","RPS13"
"187","RPL26","EEF1A1"
"188","RPL26","RPL13A"
"189","RPL26","RPL15"
"190","RPL26","RPS6"
"191","RPL26","RPS3A"
"192","RPL26","RPS8"
"193","RPL26","RPS23"
"194","RPL26","RPL7"
"195","RPL26","RPS7"
"196","RPL26","RPL21"
"197","RPL26","RPL34"
"198","RPL6","RPL4"
"199","RPS21","RPS3"
"200","LOC112268430","FN1"
"201","MOV10","RHOC"
"202","TUBB4B","TUBA1B"
"203","RPL21","RPL26"
"204","RPL21","RPL34"
"205","RPL35A","RPL32"
"206","RPL37","RPL19"
"207","RPL37","RPL31"
"208","PRR29","ICAM2"
"209","SLC40A1","PTPRE"
"210","AFAP1L1","PPFIBP1"
"211","RPS5","RPLP1"
"212","CCDC152","SELENOP"
"213","FAM20A","PRKAR1A"
"214","H3C2","H1.5"
"215","H3C2","H2BC4"
"216","H3C2","H2AC11"
"217","H3C2","H3C3"
"218","H3C2","H2AZ1"
"219","H3C2","H3C4"
"220","PTPRE","SLC40A1"
"221","CEACAM1","PLSCR4"
"222","RPS24","RPL7"
"223","RPL34","RPS3A"
"224","RPL34","RPS8"
"225","RPL34","RPL26"
"226","RPL34","RPL21"
"227","RPL30","RPS6"
"228","RPL30","RPL32"
"229","RPL30","RPS20"
"230","RPL35","RPS15"
"231","LOC102723566","ENG"
"232","H2BC12","H1.5"
"233","H2BC12","H2BC4"
"234","LRRC75A","SNHG29"
"235","EIF3L","RPL15"
"236","PPIB","SNX22"
"237","SLC19A1","COL18A1"
"238","RPL31","RPL37"
"239","NONO","SET"
"240","NFIA","MMRN1"
"241","NFIA","TFPI"
"242","NFIA","HMBOX1"
"243","SH3BP5","SH3BP5.AS1"
"244","NACA","RPL5"
"245","SET","NONO"
"246","SH3BGRL2","MEF2C"
"247","H2BC4","H1.5"
"248","H2BC4","H1.2"
"249","H2BC4","H3C2"
"250","H2BC4","H2BC12"
"251","H2BC4","H2AC11"
"252","H2BC4","H3C3"
"253","H2BC4","H3C4"
"254","RPS15","RPL35"
"255","H2AC11","H1.5"
"256","H2AC11","H3C2"
"257","H2AC11","H2BC4"
"258","H2AC11","H3C3"
"259","H2AC11","H2AZ1"
"260","H2AC11","H3C4"
"261","H3C3","H1.5"
"262","H3C3","H3C2"
"263","H3C3","H2BC4"
"264","H3C3","H2AC11"
"265","H3C3","H2AZ1"
"266","H3C3","H3C4"
"267","SLC20A1","NIBAN2"
"268","SLC20A1","MLEC"
"269","SNX32","CFL1"
"270","SNX22","PPIB"
"271","H2AZ1","H1.5"
"272","H2AZ1","H3C2"
"273","H2AZ1","H2AC11"
"274","H2AZ1","H3C3"
"275","H2AZ1","H3C4"
"276","CLMAT3","SPARC"
"277","EML6","RTN4"
"278","MEF2C","SH3BGRL2"
"279","SH3BP5.AS1","SH3BP5"
"280","MLEC","SLC20A1"
"281","HMBOX1","MMRN1"
"282","HMBOX1","NFIA"
"283","H3C4","H1.5"
"284","H3C4","H3C2"
"285","H3C4","H2BC4"
"286","H3C4","H2AC11"
"287","H3C4","H3C3"
"288","H3C4","H2AZ1"
